name,ply,rolls,sheets,uses,price,cost/use,url,
about1988,3,1,170,56.666666666666664,5,0.08823529411764706,https://www.amazon.co.uk/dp/B07XLCL63D,
"amazon aware",3,12,250,1000,8.75,0.00875,https://www.amazon.co.uk/dp/B09JGFMXGX,
"amazon aware",3,36,250,3000,24.92,0.008306666666666667,https://www.amazon.co.uk/dp/B09JGKHYYR,
andporium,4,10,300,1500,11.99,0.007993333333333333,https://www.amazon.co.uk/dp/B0CKLSKRLW,
"andrex quilts",4,45,160,3600,27.99,0.007775,https://www.amazon.co.uk/dp/B0048DTYGQ,
"andrex ultimate quilts",4,48,160,3840,28.98,0.007546875,https://www.amazon.co.uk/dp/B09MZFT7CZ,
"andrex ultimate quilts",4,48,160,3840,30.99,0.0080703125,https://www.amazon.co.uk/dp/B0B21FVHF4,
"andrex ultimate quilts",4,16,160,1280,9.45,0.0073828125,https://www.sainsburys.co.uk/gol-ui/Product/andrex-supreme-quilts-toilet-tissue-16-rolls-7805637-p,
"andrex ultimate quilts",4,9,160,720,5.5,0.007638888888888889,https://www.sainsburys.co.uk/gol-ui/product/andrex-supreme-quilts-toilet-tissue-9-rolls-6304463-p,https://groceries.asda.com/product/8103241
"andrex ultimate quilts",4,9,160,720,6.82,0.009472222222222222,"asda uber eats",
"andrex ultimate quilts",4,9,160,720,7.49,0.010402777777777778,"gopuff uber eats",
"andrex ultimate quilts",4,4,160,320,2.5,0.0078125,https://groceries.asda.com/product/8103239,
"andrex ultimate quilts",4,4,160,320,3.25,0.01015625,https://www.tesco.com/groceries/en-GB/products/312091310,
"andrex ultimate quilts",4,4,160,320,4.03,0.01259375,"asda uber eats",
"andrex ultimate quilts",4,4,160,320,3.99,0.01246875,"gopuff uber eats",
"andrex ultimate quilts",4,16,160,1280,10.4,0.008125,https://groceries.asda.com/product/1000047173165,
"andrex ultimate quilts",4,9,160,720,5.95,0.008263888888888888,https://groceries.morrisons.com/products/andrex-supreme-quilts-toilet-roll-602098011,
