name,ply,rolls,sheets,uses,multiQuan,multiDisc,cost,delivery,useCost,useCostDisc,url
about1988,3,1,170,56,1,1,5,0,0.08928571428571429,0.08928571428571429,https://www.amazon.co.uk/dp/B07XLCL63D
amazon aware,3,12,250,1000,1,1,8.75,0,0.00875,0.00875,https://www.amazon.co.uk/dp/B09JGFMXGX
amazon aware,3,36,250,3000,1,1,24.92,0,0.008306666666666667,0.008306666666666667,https://www.amazon.co.uk/dp/B09JGKHYYR
andporium,4,10,300,1500,1,1,11.99,0,0.007993333333333333,0.007993333333333333,https://www.amazon.co.uk/dp/B0CKLSKRLW
andrex quilts,4,45,160,3600,1,1,27.99,0,0.007775,0.007775,https://www.amazon.co.uk/dp/B0048DTYGQ
andrex ultimate quilts,3,48,160,2560,1,1,28.98,0,0.0113203125,0.0113203125,https://www.amazon.co.uk/dp/B09MZFT7CZ
andrex ultimate quilts,3,48,160,2560,1,1,25.5,0,0.0099609375,0.0099609375,https://www.amazon.co.uk/dp/B0B21FVHF4
andrex ultimate quilts,3,16,160,853,1,1,9.45,0,0.01107854630715123,0.01107854630715123,https://www.sainsburys.co.uk/gol-ui/Product/andrex-supreme-quilts-toilet-tissue-16-rolls-7805637-p
andrex ultimate quilts,3,9,160,480,1,1,5,0,0.010416666666666666,0.010416666666666666,https://www.sainsburys.co.uk/gol-ui/product/andrex-supreme-quilts-toilet-tissue-9-rolls-6304463-p
andrex ultimate quilts,3,9,160,480,1,1,8.06,0,0.016791666666666667,0.016791666666666667,uber eats asda
andrex ultimate quilts,3,9,160,480,1,1,8.55,0,0.017812500000000002,0.017812500000000002,uber eats gopuff
andrex ultimate quilts,3,4,160,213,1,1,2.5,0,0.011737089201877934,0.011737089201877934,https://groceries.asda.com/product/8103239
andrex ultimate quilts,3,4,160,213,1,1,3.25,2.99,0.029295774647887324,0.029295774647887324,https://www.tesco.com/groceries/en-GB/products/312091310
andrex ultimate quilts,3,4,160,213,1,1,3.53,0,0.016572769953051642,0.016572769953051642,uber eats asda
andrex ultimate quilts,3,4,160,213,1,1,4.9,0,0.023004694835680753,0.023004694835680753,uber eats gopuff
